No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
950120031959,12345,Penyelia,enabled,Johan bin Iskandar,Bahagian Istiadat dan Protokol,BIP_johan_bin_iskandar41@dummyemail.test,Juruaudit,D,01
960917121866,12345,Staf,enabled,Yan Woo,Bahagian Istiadat dan Protokol,BIP_yan_woo42@dummyemail.test,Pegawai Tadbir,Y,26
940727039267,12345,Staf,enabled,Meimei Lah,Bahagian Istiadat dan Protokol,BIP_meimei_lah43@dummyemail.test,Setiausaha Pejabat,T,53
991019014806,12345,Staf,enabled,Ming Tao Tee,Bahagian Istiadat dan Protokol,BIP_ming_tao_tee44@dummyemail.test,Pegawai Rendah Polis dan Konstabel,Z,14
971018077006,12345,Staf,enabled,Ravindra Mudartha,Bahagian Istiadat dan Protokol,BIP_ravindra_mudartha45@dummyemail.test,Setiausaha Politik,A,54
021115063403,12345,Penyelia,enabled,Faris bin Haikal,Bahagian Istiadat dan Protokol,BIP_faris_bin_haikal46@dummyemail.test,Setiausaha Pejabat,J,23
940212093657,12345,Ketua Bahagian,enabled,Muchen Hong,Bahagian Istiadat dan Protokol,BIP_muchen_hong47@dummyemail.test,Setiausaha Pejabat,N,53
000830105399,12345,Staf,enabled,Zimo Ling,Bahagian Istiadat dan Protokol,BIP_zimo_ling48@dummyemail.test,Juruaudit,F,05
980607080200,12345,Pentadbir Agensi,enabled,Chaoxiang See,Bahagian Istiadat dan Protokol,BIP_chaoxiang_see49@dummyemail.test,Jawatan Hakiki Pembantu Setiausaha Pejabat,L,56
970822121628,12345,Penyelia,enabled,Lavana Rathod,Bahagian Istiadat dan Protokol,BIP_lavana_rathod50@dummyemail.test,Setiausaha Politik,F,03
